No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
122,서울특별시 용산구 녹사평역 3번 출구 앞( 직진2~3미터횡단보도앞 ),126.9804724,37.53114116,인근좌표,서울특별시 용산구 녹사평역 3번 출구 앞( 직진2~3미터횡단보도앞 ),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
123,서울특별시 용산구 이태원입구(수지스건너편) 공중화장실앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원입구(수지스건너편) 공중화장실앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
124,서울특별시 용산구 이태원입구(수지스건너편) 공중화장실앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원입구(수지스건너편) 공중화장실앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
125,서울특별시 용산구 이태원버스정류장(03-189) 아디다스 OFS점 앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원버스정류장(03-189) 아디다스 OFS점 앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
126,서울특별시 용산구 이태원버스정류장(03-189) 아디다스 OFS점 앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원버스정류장(03-189) 아디다스 OFS점 앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
127,서울특별시 용산구 이태원버스정류장(03-188),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원버스정류장(03-188),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
128,서울특별시 용산구 이태원버스정류장(03-188),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원버스정류장(03-188),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
129,서울특별시 용산구 국제아케이드건물 앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 국제아케이드건물 앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
130,서울특별시 용산구 국제아케이드건물 앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 국제아케이드건물 앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
131,서울특별시 용산구 ABC마트(신발가게)앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 ABC마트(신발가게)앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
132,서울특별시 용산구 ABC마트(신발가게)앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 ABC마트(신발가게)앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
133,서울특별시 용산구 미스전콜렉션앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 미스전콜렉션앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
134,서울특별시 용산구 미스전콜렉션앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 미스전콜렉션앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
135,서울특별시 용산구 해밀턴호텔 버스정류장(03-190),126.9804724,37.53114116,인근좌표,서울특별시 용산구 해밀턴호텔 버스정류장(03-190),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
136,서울특별시 용산구 해밀턴호텔 버스정류장(03-190),126.9804724,37.53114116,인근좌표,서울특별시 용산구 해밀턴호텔 버스정류장(03-190),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
137,서울특별시 용산구 이태원역 2번 출구 (해밀턴호텔정문앞횡단보도),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원역 2번 출구 (해밀턴호텔정문앞횡단보도),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
138,서울특별시 용산구 이태원역 2번 출구 (해밀턴호텔정문앞횡단보도),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원역 2번 출구 (해밀턴호텔정문앞횡단보도),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
139,서울특별시 용산구 이태원역 3번 출구 (올리브영 횡단보도앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원역 3번 출구 (올리브영 횡단보도앞),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
140,서울특별시 용산구 이태원역 3번 출구 (올리브영 횡단보도앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원역 3번 출구 (올리브영 횡단보도앞),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
141,서울특별시 용산구 이태원소방서건너편사거리 뉴욕콜롬비아치과앞 횡단보도,129.0571699,35.58648813,인근좌표,서울특별시 용산구 이태원소방서건너편사거리 뉴욕콜롬비아치과앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
142,서울특별시 용산구 이태원소방서건너편사거리 뉴욕콜롬비아치과앞 횡단보도,129.0571699,35.58648813,인근좌표,서울특별시 용산구 이태원소방서건너편사거리 뉴욕콜롬비아치과앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
143,서울특별시 용산구 이태원 119 안전센타 버스정류장(03-192),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원 119 안전센타 버스정류장(03-192),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
144,서울특별시 용산구 이태원 119 안전센타 버스정류장(03-192),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원 119 안전센타 버스정류장(03-192),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
145,서울특별시 용산구 제일기획실앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 제일기획실앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
146,서울특별시 용산구 제일기획실앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 제일기획실앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
147,서울특별시 용산구 시화담그릴(이태원로254(한남동683-130)앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 시화담그릴(이태원로254(한남동683-130)앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
148,서울특별시 용산구 시화담그릴(이태원로254(한남동683-130)앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 시화담그릴(이태원로254(한남동683-130)앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
149,서울특별시 용산구 삼성미술관 리움 택시정류장(폭스바겐건너편),127.3611005,37.27633518,인근좌표,서울특별시 용산구 삼성미술관 리움 택시정류장(폭스바겐건너편),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
150,서울특별시 용산구 삼성미술관 리움 택시정류장(폭스바겐건너편),127.3611005,37.27633518,인근좌표,서울특별시 용산구 삼성미술관 리움 택시정류장(폭스바겐건너편),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
151,서울특별시 용산구 이태원광장 녹사평역방향 횡단보도(좌측),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원광장 녹사평역방향 횡단보도(좌측),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
152,서울특별시 용산구 이태원광장 녹사평역방향 횡단보도(좌측),126.9804724,37.53114116,인근좌표,서울특별시 용산구 이태원광장 녹사평역방향 횡단보도(좌측),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
153,서울특별시 용산구 용산구청 셔틀버스 정류장,126.9804724,37.53114116,인근좌표,서울특별시 용산구 용산구청 셔틀버스 정류장,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
