No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
95,서울특별시 영등포구 여의대방로 ,126.9222548,37.5057029,인근좌표,서울특별시 영등포구 여의대방로  병무청 앞 버스중앙차로(19-014),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
96,서울특별시 영등포구 여의대방로59길,126.923218,37.51406414,인근좌표,서울특별시 영등포구 여의대방로59길 대방역 버스정류장(19-307),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
97,서울특별시 영등포구 신길로 155,126.9109052,37.50602193,인근좌표,서울특별시 영등포구 신길로 155 사러가 교차로 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,,
98,서울특별시 영등포구 신길로 190 ,126.9113778,37.50942239,정좌표,서울특별시 영등포구 신길로 190  우신초교 버스정류장(19-238),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
99,서울특별시 영등포구 대림로 146,126.9007762,37.49416208,정좌표,서울특별시 영등포구 대림로 146 대동초교 맞은편 버스정류장(19-262),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
100,서울특별시 영등포구 시흥대로 659,126.9074987,37.49084295,정좌표,서울특별시 영등포구 시흥대로 659 천지당약국 앞 택시승강장,"① 정류장(버스, 택시 등)",① 일반쓰레기,,
101,서울특별시 영등포구 시흥대로 613,126.9046112,37.4873875,정좌표,서울특별시 영등포구 시흥대로 613 안국약품 앞 버스중앙차로(19-009) ,⑦ 버스중앙차로내 휴지통,① 일반쓰레기,,
102,서울특별시 영등포구 대림역,126.9146598,37.52076076,인근좌표,서울특별시 영등포구 대림역 6번출구 공항리무진 버스정류장(19-502),"① 정류장(버스, 택시 등)",① 일반쓰레기,,
103,서울특별시 영등포구 대림역,126.9146598,37.52076076,인근좌표,서울특별시 영등포구 대림역 5번출구 앞 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,,
104,서울특별시 영등포구 여의대방로,126.9222548,37.5057029,인근좌표,서울특별시 영등포구 여의대방로 한림대학교 병원 앞 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,,
